"Formula","Name","DHVap 25C"
"AgBr","Silver(I) bromide",
"AgCl","Silver(I) chloride",
"AgI","Silver(I) iodide",
"Al","Aluminum",
"AlB3H12","Aluminum borohydride",
"AlBr3","Aluminum tribromide",
"AlI3","Aluminum triiodide",
"Ar","Argon",
"AsBr3","Arsenic(III) bromide",
"AsCl3","Arsenic(III) chloride",
"AsF3","Arsenic(III) fluoride",
"AsF5","Arsenic(V) fluoride",
"AsH3","Arsine",
"AsI3","Arsenic(III) iodide",
"Au","Gold",
"B","Boron",
"BBr3","Boron tribromide",23.1
"BCl3","Boron trichloride",
"BF3","Boron trifluoride",
"BI3","Boron triiodide",
"B2F4","Tetrafluorodiborane",
"B2H6","Diborane",
"B4H10","Tetraborane",
"B5H11","Pentaborane(11)",
"Ba","Barium",
"BeCl2","Beryllium chloride",
"BeI2","Beryllium iodide",
"Bi","Bismuth",
"BiBr3","Bismuth tribromide",
"BiCl3","Bismuth trichloride",
"BrF","Bromine fluoride",
"BrF3","Bromine trifluoride",
"BrF5","Bromine pentafluoride",
"BrH","Hydrogen bromide",12.69
"BrH3Si","Bromosilane",
"BrIn","Indium(I) bromide",
"BrTl","Thallium(I) bromide",
"Br2","Bromine",30.91
"Br2Cd","Cadmium bromide",
"Br2H2Si","Dibromosilane",
"Br2Hg","Mercury(II) bromide",
"Br2Pb","Lead(II) bromide",
"Br2Sn","Tin(II) bromide",
"Br2Zn","Zinc bromide",
"Br3Ga","Gallium(III) bromide",
"Br3HSi","Tribromosilane",
"Br3OP","Phosphorus(V) oxybromide",
"Br3P","Phosphorus(III) bromide",
"Br3Sb","Antimony(III) bromide",
"Br4Ge","Germanium(IV) bromide",
"Br4Si","Tetrabromosilane",
"Br4Sn","Tin(IV) bromide",
"Br4Ti","Titanium(IV) bromide",
"Br5Ta","Tantalum(V) bromide",
"Cd","Cadmium",
"CdCl2","Cadmium chloride",
"CdF2","Cadmium fluoride",
"CdI2","Cadmium iodide",
"ClF","Chlorine fluoride",
"ClFO3","Perchloryl fluoride",
"ClF2P","Phosphorus(III) chloride difluoride",
"ClF3","Chlorine trifluoride",
"ClF3Si","Chlorotrifluorosilane",
"ClH","Hydrogen chloride",9.08
"ClH3Si","Chlorosilane",
"ClNO","Nitrosyl chloride",
"ClNO2","Nitryl chloride",
"ClO2","Chlorine dioxide",
"ClTl","Thallium(I) chloride",
"Cl2","Chlorine",17.65
"Cl2Cr","Chromium(II) chloride",
"Cl2CrO2","Chromyl chloride",
"Cl2FP","Phosphorus(III) dichloride fluoride",
"Cl2F2Si","Dichlorodifluorosilane",
"Cl2H2Si","Dichlorosilane",
"Cl2Hg","Mercury(II) chloride",
"Cl2O","Chlorine monoxide",
"Cl2OS","Thionyl chloride",
"Cl2O2S","Sulfuryl chloride",
"Cl2Pb","Lead(II) chloride",
"Cl2Sn","Tin(II) chloride",
"Cl2Ti","Titanium(II) chloride",
"Cl2Zn","Zinc chloride",
"Cl3Ga","Gallium(III) chloride",
"Cl3HSi","Trichlorosilane",
"Cl3OP","Phosphorus(V) oxychloride",
"Cl3OV","Vanadyl trichloride",
"Cl3P","Phosphorus(III) chloride",
"Cl3Sb","Antimony(III) chloride",
"Cl3Ti","Titanium(III) chloride",
"Cl4Ge","Germanium(IV) chloride",
"Cl4OW","Tungsten(VI) oxytetrachloride",
"Cl4Si","Tetrachlorosilane",
"Cl4Sn","Tin(IV) chloride",
"Cl4Te","Tellurium tetrachloride",
"Cl4Th","Thorium(IV) chloride",
"Cl4Ti","Titanium(IV) chloride",
"Cl4V","Vanadium(IV) chloride",
"Cl5Mo","Molybdenum(V) chloride",
"Cl5Nb","Niobium(V) chloride",
"Cl5Ta","Tantalum(V) chloride",
"Cl6W","Tungsten(VI) chloride",
"FH3Si","Fluorosilane",
"FLi","Lithium fluoride",
"FNO","Nitrosyl fluoride",
"FNO2","Nitryl fluoride",
"FNS","Thionitrosyl fluoride (NSF)",
"F2","Fluorine",
"F2H2Si","Difluorosilane",
"F2O","Fluorine monoxide",
"F2OS","Thionyl fluoride",
"F2O2","Fluorine dioxide",
"F2Pb","Lead(II) fluoride",
"F2Zn","Zinc fluoride",
"F3HSi","Trifluorosilane",
"F3N","Nitrogen trifluoride",
"F3O2Re","Rhenium(VII) dioxytrifluoride",
"F3P","Phosphorus(III) fluoride",
"F3PS","Phosphorus(V) sulfide trifluoride",
"F4MoO","Molybdenum(VI) oxytetrafluoride",
"F4N2","Tetrafluorohydrazine",
"F4ORe","Rhenium(VI) oxytetrafluoride",
"F4OW","Tungsten(VI) oxytetrafluoride",
"F4S","Sulfur tetrafluoride",
"F4Se","Selenium tetrafluoride",
"F4Th","Thorium(IV) fluoride",
"F5I","Iodine pentafluoride",
"F5Mo","Molybdenum(V) fluoride",
"F5Nb","Niobium(V) fluoride",
"F5Os","Osmium(V) fluoride",
"F5P","Phosphorus(V) fluoride",
"F5Re","Rhenium(V) fluoride",
"F5Ta","Tantalum(V) fluoride",
"F5V","Vanadium(V) fluoride",
"F6Ir","Iridium(VI) fluoride",
"F6Mo","Molybdenum(VI) fluoride",
"F6Os","Osmium(VI) fluoride",
"F6Re","Rhenium(VI) fluoride",
"F6S","Sulfur hexafluoride",
"F6W","Tungsten(VI) fluoride",
"Ga","Gallium",
"GaI3","Gallium(III) iodide",
"Ge","Germanium",
"GeH4","Germane",
"Ge2H6","Digermane",
"Ge3H8","Trigermane",
"HI","Hydrogen iodide",
"HLiO","Lithium hydroxide",
"HNO3","Nitric acid",
"HN3","Hydrazoic acid",
"HNaO","Sodium hydroxide",
"H2","Hydrogen",
"H2O","Water",
"H2O2","Hydrogen peroxide",
"H2S","Hydrogen sulfide",
"H2S2","Hydrogen disulfide",
"H2Se","Hydrogen selenide",
"H2Te","Hydrogen telluride",
"H3N","Ammonia",
"H3P","Phosphine",
"H3Sb","Stibine",
"H4N2","Hydrazine",
"H4P2","Diphosphine",
"H4Si","Silane",
"H4Sn","Stannane",
"H6Si2","Disilane",
"H8Si3","Trisilane",
"He","Helium",
"Hg","Mercury",
"HgI2","Mercury(II) iodide",
"IIn","Indium(I) iodide",
"ITl","Thallium(I) iodide",
"I2","Iodine",
"I2Pb","Lead(II) iodide",
"I2Sn","Tin(II) iodide",
"I3P","Phosphorus(III) iodide",
"I3Sb","Antimony(III) iodide",
"I4Si","Tetraiodosilane",
"I4Sn","Tin(IV) iodide",
"I4Ti","Titanium(IV) iodide",
"Kr","Krypton",
"MoO3","Molybdenum(VI) oxide",
"NO","Nitric oxide",
"N2","Nitrogen",
"N2O","Nitrous oxide",
"N2O4","Nitrogen tetroxide",
"Ne","Neon",
"O2","Oxygen",
"O2S","Sulfur dioxide",
"O3S","Sulfur trioxide",
"P","Phosphorus",
"Pb","Lead",
"S","Sulfur",
"STl2","Thallium(I) sulfide",
"Se","Selenium",
"Te","Tellurium",
"Xe","Xenon",
"CClF3","Chlorotrifluoromethane",
"CCl2F2","Dichlorodifluoromethane",
"CCl3F","Trichlorofluoromethane",
"CCl4","Tetrachloromethane",
"CHBr3","Tribromomethane",
"CHClF2","Chlorodifluoromethane",
"CHCl2F","Dichlorofluoromethane",
"CHCl3","Trichloromethane",
"CH2BrCl","Bromochloromethane",
"CH2Br2","Dibromomethane",
"CH2Cl2","Dichloromethane",
"CH2I2","Diiodomethane",
"CH2O2","Formic acid",
"CH3Br","Bromomethane",
"CH3Cl","Chloromethane",
"CH3I","Iodomethane",
"CH3NO","Formamide",
"CH3NO2","Nitromethane",
"CH4","Methane",
"CH4O","Methanol",
"CH5N","Methylamine",
"CH6N2","Methylhydrazine",
"CN4O8","Tetranitromethane",
"CO","Carbon monoxide",
"CS2","Carbon disulfide",
"C2Br2ClF3","1,2-Dibromo-1-chloro-1,2,2-trifluoroethane",
"C2Br2F4","1,2-Dibromotetrafluoroethane",
"C2ClF5","Chloropentafluoroethane",
"C2Cl2F4","1,2-Dichlorotetrafluoroethane",
"C2Cl3F3","1,1,1-Trichlorotrifluoroethane",
"C2Cl3F3","1,1,2-Trichloro-1,2,2-trifluoroethane",
"C2Cl4","Tetrachloroethylene",
"C2F6","Hexafluoroethane",
"C2HBrClF3","2-Bromo-2-chloro-1,1,1-trifluoroethane",
"C2HCl3","Trichloroethylene",
"C2HCl5","Pentachloroethane",
"C2HF3O2","Trifluoroacetic acid",
"C2H2Br4","1,1,2,2-Tetrabromoethane",
"C2H2Cl2","1,1-Dichloroethylene",
"C2H2Cl2","cis-1,2-Dichloroethylene",
"C2H2Cl2","trans-1,2-Dichloroethylene",
"C2H2Cl4","1,1,2,2-Tetrachloroethane",
"C2H3Br","Bromoethylene",
"C2H3Cl","Chloroethylene",
"C2H3Cl2F","1,1-Dichloro-1-fluoroethane",
"C2H3Cl3","1,1,1-Trichloroethane",
"C2H3Cl3","1,1,2-Trichloroethane",
"C2H3F3","1,1,1-Trifluoroethane",
"C2H3N","Acetonitrile",
"C2H4","Ethylene",
"C2H4Br2","1,2-Dibromoethane",
"C2H4Cl2","1,1-Dichloroethane",
"C2H4Cl2","1,2-Dichloroethane",
"C2H4F2","1,1-Difluoroethane",
"C2H4O","Acetaldehyde",
"C2H4O","Ethylene oxide",
"C2H4O2","Acetic acid",
"C2H4O2","Methyl formate",
"C2H5Br","Bromoethane",
"C2H5Cl","Chloroethane",
"C2H5ClO","2-Chloroethanol",
"C2H5I","Iodoethane",
"C2H5NO","N-Methylformamide",
"C2H5NO2","Nitroethane",
"C2H6","Ethane",
"C2H6O","Ethanol",
"C2H6O","Dimethyl ether",
"C2H6OS","Dimethyl sulfoxide",
"C2H6O2","Ethylene glycol",
"C2H6S","Ethanethiol",
"C2H6S","Dimethyl sulfide",
"C2H6S2","1,2-Ethanedithiol",
"C2H6S2","Dimethyl disulfide",
"C2H7N","Dimethylamine",
"C2H7NO","Ethanolamine",
"C2H8N2","1,2-Ethanediamine",
"C2H8N2","1,1-Dimethylhydrazine",
"C2N2","Cyanogen",
"C3Cl2F6","1,2-Dichlorohexafluoropropane",
"C3H3Cl3O2","Methyl trichloroacetate",
"C3H3N","Acrylonitrile",
"C3H4Cl2O2","Methyl dichloroacetate",
"C3H4O","Acrolein",
"C3H4O2","2-Oxetanone",
"C3H5Br","3-Bromopropene",
"C3H5Cl","3-Chloropropene",
"C3H5ClO2","Methyl chloroacetate",
"C3H5Cl3","1,2,3-Trichloropropane",
"C3H5N","Propanenitrile",
"C3H6","Propene",
"C3H6","Cyclopropane",
"C3H6Br2","1,2-Dibromopropane",
"C3H6Br2","1,3-Dibromopropane",
"C3H6Cl2","1,3-Dichloropropane",
"C3H6O","Allyl alcohol",
"C3H6O","Propanal",
"C3H6O","Acetone",
"C3H6O","Methyloxirane",
"C3H6O","Oxetane",
"C3H6O2","Propanoic acid",
"C3H6O2","Ethyl formate",
"C3H6O2","Methyl acetate",
"C3H6S","Thietane",
"C3H7Br","1-Bromopropane",
"C3H7Br","2-Bromopropane",
"C3H7Cl","1-Chloropropane",
"C3H7Cl","2-Chloropropane",
"C3H7I","1-Iodopropane",
"C3H7I","2-Iodopropane",
"C3H7NO","N-Ethylformamide",
"C3H7NO","N,N-Dimethylformamide",
"C3H7NO2","1-Nitropropane",
"C3H7NO2","2-Nitropropane",
"C3H8","Propane",
"C3H8O","1-Propanol",
"C3H8O","2-Propanol",
"C3H8O2","1,2-Propylene glycol",
"C3H8O2","1,3-Propylene glycol",
"C3H8O2","Ethylene glycol monomethyl ether",
"C3H8O3","Glycerol",
"C3H8S","1-Propanethiol",
"C3H8S","2-Propanethiol",
"C3H8S","Ethyl methyl sulfide",
"C3H8S2","1,3-Propanedithiol",
"C3H9N","Propylamine",
"C3H9N","Isopropylamine",
"C3H9N","Trimethylamine",
"C3H10N2","1,3-Propanediamine",
"C4F8","Perfluorocyclobutane",
"C4F10","Perfluorobutane",
"C4H4N2","Succinonitrile",
"C4H4N2","Pyrimidine",
"C4H4N2","Pyridazine",
"C4H4O","Furan",
"C4H4O2","Diketene",
"C4H4S","Thiophene",
"C4H5Cl3O2","Ethyl trichloroacetate",
"C4H5N","2-Methylacrylonitrile",
"C4H5N","Pyrrole",
"C4H5N","Cyclopropanecarbonitrile",
"C4H5NO2","Methyl cyanoacetate",
"C4H5NS","4-Methylthiazole",
"C4H6","1,2-Butadiene",
"C4H6","1,3-Butadiene",
"C4H6","1-Butyne",
"C4H6Cl2O2","Ethyl dichloroacetate",
"C4H6O2","Vinyl acetate",
"C4H6O2","Methyl acrylate",
"C4H6O2","γ-Butyrolactone",
"C4H6O3","Acetic anhydride",
"C4H6S","2,3-Dihydrothiophene",
"C4H6S","2,5-Dihydrothiophene",
"C4H7ClO2","Ethyl chloroacetate",
"C4H7N","Butanenitrile",
"C4H7N","2-Methylpropanenitrile",
"C4H8","1-Butene",
"C4H8","cis-2-Butene",
"C4H8","trans-2-Butene",
"C4H8","Cyclobutane",
"C4H8Br2","1,4-Dibromobutane",
"C4H8Cl2","1,2-Dichlorobutane",
"C4H8Cl2","1,4-Dichlorobutane",
"C4H8Cl2O","Bis(2-chloroethyl) ether",
"C4H8O","Ethyl vinyl ether",
"C4H8O","1,2-Epoxybutane",
"C4H8O","Butanal",
"C4H8O","2-Butanone",
"C4H8O","Tetrahydrofuran",
"C4H8O2","Butanoic acid",
"C4H8O2","2-Methylpropanoic acid",
"C4H8O2","Propyl formate",
"C4H8O2","Ethyl acetate",
"C4H8O2","Methyl propanoate",
"C4H8O2","1,3-Dioxane",
"C4H8O2","1,4-Dioxane",
"C4H8S","Tetrahydrothiophene",
"C4H9Br","1-Bromobutane",
"C4H9Br","2-Bromobutane",
"C4H9Br","1-Bromo-2-methylpropane",
"C4H9Br","2-Bromo-2-methylpropane",
"C4H9Cl","1-Chlorobutane",
"C4H9Cl","2-Chlorobutane",
"C4H9Cl","1-Chloro-2-methylpropane",
"C4H9Cl","2-Chloro-2-methylpropane",
"C4H9I","1-Iodobutane",
"C4H9I","2-Iodobutane",
"C4H9I","1-Iodo-2-methylpropane",
"C4H9I","2-Iodo-2-methylpropane",
"C4H9N","Pyrrolidine",
"C4H9NO","N-Ethylacetamide",
"C4H9NO","N,N-Dimethylacetamide",
"C4H9NO","Morpholine",
"C4H10","Butane",
"C4H10","Isobutane",
"C4H10O","1-Butanol",
"C4H10O","2-Butanol",
"C4H10O","2-Methyl-1-propanol",
"C4H10O","2-Methyl-2-propanol",
"C4H10O","Diethyl ether",
"C4H10O","Methyl propyl ether",
"C4H10O","Isopropyl methyl ether",
"C4H10O2","1,2-Butanediol",
"C4H10O2","1,3-Butanediol",
"C4H10O2","Ethylene glycol monoethyl ether",
"C4H10O2","Ethylene glycol dimethyl ether",
"C4H10O3","Diethylene glycol",
"C4H10S","1-Butanethiol",
"C4H10S","2-Butanethiol",
"C4H10S","2-Methyl-1-propanethiol",
