PtID C2O1O1_Q00 C2O1O1_Q10 C2O1O1_Q20 O1C2O1_Q00 O1C2O1_Q10 O1C2O1_Q20 aiESP
Pt:-3.590482_-1.133841_-0.377951_co2 0.125487579323 0.0156522176559 0.00194044530651 0.272483127013 -0.0206016181262 0.00606656486121 -0.00723515
Pt:-3.590482_-1.133841_0.377939_co2 0.125488543512 0.015652578452 0.00194053503871 0.272486182858 -0.0206028300285 0.00606705259427 -0.00723579
Pt:-3.590482_-0.377951_-1.133841_co2 0.125518004925 0.0156636054831 0.00194327836306 0.272579581248 -0.0206398938055 0.00608197552598 -0.00725535
Pt:-3.590482_-0.377951_-0.377951_co2 0.126087769816 0.0158778810007 0.00199690626324 0.274395491778 -0.0213695461108 0.00637831964535 -0.00764317
Pt:-3.590482_-0.377951_0.377939_co2 0.126088747906 0.0158782505079 0.00199699926682 0.274398624999 -0.0213708199897 0.00637884128172 -0.00764385
Pt:-3.590482_-0.377951_1.133829_co2 0.125520899663 0.0156646892258 0.00194354806564 0.272588760749 -0.0206435389989 0.00608344386686 -0.00725727
Pt:-3.590482_0.377939_-1.133841_co2 0.125549418262 0.0156753687978 0.00194620664123 0.272679221157 -0.0206794843626 0.00609792976267 -0.00727627
Pt:-3.590482_0.377939_-0.377951_co2 0.126119612991 0.0158899138053 0.0019999358019 0.274497526772 -0.0214110571765 0.006395325489 -0.00766538
Pt:-3.590482_0.377939_0.377939_co2 0.126120591822 0.0158902837794 0.00200002898181 0.274500664165 -0.0214123344346 0.00639584899267 -0.00766606
Pt:-3.590482_0.377939_1.133829_co2 0.125552315173 0.0156764538974 0.00194647685095 0.272688412652 -0.0206831390753 0.00609940326829 -0.00727819
Pt:-3.590482_1.133829_-0.377951_co2 0.125581821536 0.0156875089826 0.00194923066096 0.272782059036 -0.020720399674 0.00611443298613 -0.00729789
Pt:-3.590482_1.133829_0.377939_co2 0.125582787899 0.0156878711355 0.00194932090031 0.272785126876 -0.0207216210957 0.00611492588398 -0.00729853
Pt:-2.834592_-2.645621_-1.133841_co2 0.134118801292 0.017285614397 0.00213547444215 0.291613382431 -0.0220818633714 0.00618095984848 -0.00662218
Pt:-2.834592_-2.645621_-0.377951_co2 0.134814572755 0.0175560314512 0.00220418760989 0.293863713996 -0.0229981822559 0.0065408497348 -0.00702502
Pt:-2.834592_-2.645621_0.377939_co2 0.134815768315 0.0175564985252 0.00220430707717 0.293867604323 -0.0229997880563 0.00654148669288 -0.00702573
Pt:-2.834592_-2.645621_1.133829_co2 0.134122332816 0.017286979892 0.00213581913663 0.291624736144 -0.0220864239504 0.00618273330124 -0.00662416
Pt:-2.834592_-1.889731_-1.889731_co2 0.134851104923 0.017570307364 0.00220784029302 0.293982625829 -0.0230472991871 0.00656034239141 -0.00704677
Pt:-2.834592_-1.889731_-1.133841_co2 0.136275699579 0.0181330597084 0.00235382779831 0.298680546507 -0.0250445892415 0.00737020600388 -0.00794331
Pt:-2.834592_-1.889731_-0.377951_co2 0.137005766485 0.0184260553417 0.00243137164236 0.301135768727 -0.0261331484729 0.00782560362283 -0.00844087
Pt:-2.834592_-1.889731_0.377939_co2 0.137007021294 0.0184265616279 0.00243150654085 0.301140017447 -0.0261350592083 0.00782641158246 -0.00844175
Pt:-2.834592_-1.889731_1.133829_co2 0.136279404245 0.0181345385948 0.00235421656687 0.298692921914 -0.0250499983222 0.00737244460934 -0.00794576
Pt:-2.834592_-1.889731_1.889719_co2 0.134857087899 0.0175726461078 0.00220843893204 0.294002107627 -0.0230553529118 0.0065635405627 -0.00705032
Pt:-2.834592_-1.133841_-2.645621_co2 0.134193126976 0.0173143682457 0.00214273772303 0.291852482117 -0.0221780388198 0.00621839688364 -0.00666419
