PtID C4HHHC4_Q00 C4HHHC4_Q10 C4HHHC4_Q20 C4HHO2C4_Q00 C4HHO2C4_Q10 C4HHO2C4_Q11s C4HHO2C4_Q20 C4HHO2C4_Q21s C4HHO2C4_Q22c HC4HHC4_Q00 HC4HHC4_Q10 HC4HHC4_Q11s HC4HHC4_Q20 HC4HHC4_Q21s HC4HHC4_Q22c HC4O2C4H_Q00 HC4O2C4H_Q10 HC4O2C4H_Q11c HC4O2C4H_Q11s HC4O2C4H_Q20 HC4O2C4H_Q21c HC4O2C4H_Q21s HC4O2C4H_Q22c HC4O2C4H_Q22s HO2C4_Q00 HO2C4_Q10 HO2C4_Q11c HO2C4_Q20 HO2C4_Q21c HO2C4_Q22c O2C4H_Q00 O2C4H_Q11c O2C4H_Q11s O2C4H_Q20 O2C4H_Q22c O2C4H_Q22s aiESP
Pt:-5.291235_-3.023568_-0.566924_ethanol 0.130228426509 -0.0157404114224 0.00174946038349 0.096366370444 0.00730012505225 -0.00568155870751 0.000382066977188 -0.000745474725407 -0.000284103183756 0.416475640771 0.00718389813193 -0.0528402304083 -0.00303558224734 -0.00171786710235 -0.00516814094192 0.174115839061 -0.00908838029428 -0.00838172428779 -0.00868595085482 5.69402875304e-05 0.000756041510786 0.000777806654641 -3.00164098185e-05 0.000726282152143 0.0951702094524 0.00116644722443 0.00394858685997 -0.000409551119261 8.3823616126e-05 -0.00045037092445 0.0917644074333 -0.000102747051752 -0.00431234321917 0.000468569537888 -0.000175402746802 8.3631339124e-06 0.00183948
Pt:-5.291235_-3.023568_0.188966_ethanol 0.130677376392 -0.0159029118264 0.00178721961963 0.0965523165372 0.0073913279033 -0.00567924869411 0.000398690476597 -0.000753028278428 -0.000289115965413 0.417859919793 0.00694573044689 -0.053382750832 -0.00320397998056 -0.0016606028788 -0.00523040524125 0.174261887977 -0.0091870078096 -0.00834677591454 -0.00874115909334 6.52451003808e-05 0.000762094357648 0.000797855349368 -3.36757567359e-05 0.000725268884725 0.0965462145128 0.0018018428526 0.00424986190092 -0.000399520199784 0.000137377973747 -0.000426211974508 0.0920516313479 0.000239375269833 -0.00474126278179 0.000412756838631 -0.000210949627849 -2.13551410965e-05 0.00210335
Pt:-5.291235_-2.267678_-1.322814_ethanol 0.132790095412 -0.0166621590189 0.0019653293898 0.0973800254308 0.00692254610458 -0.00631066552975 0.000276443358418 -0.000777019223535 -0.000334793988211 0.425081667323 0.00711591440921 -0.0563034215609 -0.00325117993139 -0.00179894070986 -0.00606170738318 0.176770700804 -0.00891065669298 -0.00945133567694 -0.0084044303214 1.951733188e-08 0.000819047587964 0.000710083211225 7.8745485329e-05 0.000785438880219 0.0929561567547 0.00033805754652 0.00409045700551 -0.00039976582572 2.57658773486e-05 -0.000382780033079 0.0910404043757 -0.00089608616578 -0.00410692829149 0.000463443534524 -0.000152808377235 7.00153625168e-05 0.0017364
Pt:-5.291235_-2.267678_-0.566924_ethanol 0.134639411157 -0.0173671090954 0.00213991337042 0.0981070352636 0.0071300128971 -0.00641607043381 0.000305130065287 -0.000807643893662 -0.00035775992887 0.430984422264 0.00646568614341 -0.0587632144876 -0.00373868134492 -0.00165312166018 -0.0065481472301 0.177671722319 -0.0091697778634 -0.00953085118597 -0.00853100479211 1.37496917011e-05 0.000850157349442 0.000755544348998 8.41656837039e-05 0.000794779666798 0.0947189009959 0.000909182515686 0.0044480141984 -0.000411802855197 7.39505174415e-05 -0.000366589303397 0.0917591358715 -0.000577646992411 -0.00458957627146 0.000422793601183 -0.000195655388104 5.00433552832e-05 0.00194885
Pt:-5.291235_-2.267678_0.188966_ethanol 0.135135720003 -0.017558931947 0.00218839232278 0.0983032614035 0.00722445092087 -0.00641743036776 0.000321424930967 -0.00081688084199 -0.000362746719991 0.432534609939 0.00622912167108 -0.0594072133471 -0.00390210456724 -0.00158874184423 -0.00665784536327 0.177830231663 -0.00927200825217 -0.00949679306294 -0.00859205655039 2.2308983145e-05 0.000857603615866 0.000775786103213 7.9616920069e-05 0.000794792310107 0.0960751435614 0.0015243571935 0.00476749027009 -0.000407128731692 0.000131016545788 -0.000337299200473 0.0920463101337 -0.000240056839488 -0.00502103488002 0.000368086690851 -0.000236655646063 2.26809669691e-05 0.0022025
Pt:-5.291235_-2.267678_0.944856_ethanol 0.134233857871 -0.0172087975274 0.00209989329681 0.0979591158994 0.0071998709321 -0.00631344014642 0.000323764820637 -0.000803723282348 -0.000348978865068 0.429642051399 0.00651062578663 -0.0581648043303 -0.00369418911151 -0.00165032989713 -0.00638105377232 0.177241522822 -0.00921188923164 -0.00935024595933 -0.00858643295843 2.46192853209e-05 0.000840817925996 0.000769446873602 6.50162137297e-05 0.000785625384436 0.0969661998025 0.00215888635607 0.00503056163285 -0.000383760426968 0.000193993200317 -0.000295909358463 0.0918896438848 0.000102448907536 -0.00538169380395 0.000302933985839 -0.000272862981182 -1.03925081835e-05 0.0024959
Pt:-5.291235_-2.267678_1.700746_ethanol 0.132015259277 -0.0163686702481 0.00189396254672 0.0970913480335 0.00705990718832 -0.00611128341443 0.000312404935365 -0.000769682324039 -0.000318206831845 0.422522375677 0.00720716070899 -0.0551923208648 -0.00315756876874 -0.00179164322207 -0.00577073779044 0.175926089465 -0.00899621133103 -0.00909811548357 -0.00851384815546 2.0994436281e-05 0.000801687426272 0.000737600343257 4.16337517455e-05 0.00076745641819 0.0973510408524 0.0027834877574 0.00522142801116 -0.000341929494383 0.000258582207266 -0.000245023158417 0.0912958632232 0.000435184427367 -0.00565685256601 0.000232070600723 -0.000301752815648 -4.67043932194e-05 0.00281112
Pt:-5.291235_-1.511788_-2.078704_ethanol 0.132752118431 -0.0166223764794 0.00195226890792 0.0973544865304 0.00630720566713 -0.00675327480518 0.000151569884168 -0.000757802566996 -0.000366175948282 0.424938224158 0.00722802546266 -0.0562345021499 -0.00314951409941 -0.00183670947984 -0.006094300077 0.17796474962 -0.00844019598572 -0.0103457829312 -0.00791113636974 -6.83909621435e-05 0.000835895829911 0.000600759880533 0.0001908658732 0.000812308692718 0.0900437219818 -0.000373386485261 0.00409154784344 -0.000362708984 -2.9386875796e-05 -0.000308892464676 0.0895025281644 -0.00160754143833 -0.00380334025277 0.000431238941177 -0.000114962424217 0.000118318507026 0.00166456
Pt:-5.291235_-1.511788_-1.322814_ethanol 0.136015159917 -0.0178775229012 0.0022665227086 0.0986245079294 0.00660935541624 -0.0069834517629 0.000184742234848 -0.00081059705621 -0.000409286420829 0.435499290874 0.00632173998341 -0.0606872232154 -0.00387256550985 -0.00166060033441 -0.00708242713132 0.179658755382 -0.00885301808938 -0.0105689758263 -0.00809908434457 -5.36860629771e-05 0.000895351592663 0.000667828648886 0.000209984363194 0.000832901683179 0.0920860444554 0.00010742711163 0.00448696468386 -0.000390249456544 9.06636834526e-06 -0.000297469177689 0.0906072261381 -0.00134061138576 -0.00431622165253 0.000405686845618 -0.000160885611612 0.00011061255776 0.00183636
Pt:-5.291235_-1.511788_-0.566924_ethanol 0.138004570177 -0.0186724995901 0.00247551490703 0.0993799664374 0.00681568655827 -0.00710671055267 0.000210394077564 -0.000844189641521 -0.000435029472981 0.441851550416 0.00562058107177 -0.0634521775787 -0.00436775302377 -0.00148103357865 -0.00771046606801 0.180607112626 -0.00912056551924 -0.0106674909217 -0.00822746777406 -4.09365934713e-05 0.000931208408473 0.000713172455038 0.000217655235099 0.000843827431878 0.0937988368131 0.000649143386055 0.00485895922923 -0.00040589280103 5.82434465104e-05 -0.000274845063341 0.0913156671557 -0.00103737725167 -0.00479731886755 0.000365718229265 -0.000208058124225 9.43953578555e-05 0.00203718
Pt:-5.291235_-1.511788_0.188966_ethanol 0.138539180721 -0.0188893300306 0.00253374207703 0.0995839461605 0.00691135242259 -0.00711187102813 0.000225710251244 -0.000854905688275 -0.000439848938479 0.4435439265 0.00539994994021 -0.0641869848002 -0.00451754718458 -0.00141663852096 -0.00786985177216 0.180777718427 -0.0092245619478 -0.0106352943085 -0.00829434997928 -3.24129712847e-05 0.000939954327212 0.000733033830676 0.000212266849117 0.000845187611806 0.0951153906742 0.00123534389203 0.00518837518877 -0.000406184818074 0.000116715645809 -0.000241123373709 0.0915986849743 -0.000709002287542 -0.00522465854 0.00031329972443 -0.000253329044738 7.00449673425e-05 0.00227876
Pt:-5.291235_-1.511788_0.944856_ethanol 0.137567941234 -0.0184938392894 0.00242757496204 0.099226223394 0.00689017524655 -0.00699723075765 0.000229187964599 -0.000841570744466 -0.000422916810414 0.440468884342 0.00576691555506 -0.0628058403412 -0.00427680851502 -0.00151558874257 -0.00754040138025 0.180165224822 -0.00915925208442 -0.0104733491705 -0.00829830068742 -2.92279898669e-05 0.000920892655055 0.000726010663878 0.000193771597231 0.000837067987473 0.0959797691007 0.00184317586554 0.0054564007043 -0.000388994428175 0.000181490525449 -0.00019779468722 0.09144428943 -0.000369079229241 -0.0055789479211 0.000251876811807 -0.000293476791196 3.90010186323e-05 0.00256002
Pt:-5.291235_-1.511788_1.700746_ethanol 0.135182843812 -0.017547560783 0.00218147847099 0.0983246551655 0.00675566776176 -0.00677098801403 0.000220961803629 -0.00080578378474 -0.000386367588889 0.432864187756 0.00660084139862 -0.0594872765051 -0.00368958068077 -0.00171925464438 -0.00678927412764 0.178791398573 -0.00893216027199 -0.0101895001742 -0.00823831367325 -3.10758735604e-05 0.000876255110658 0.000693242171806 0.000163753705803 0.000819479416881 0.0963529393095 0.00244532356736 0.00564704434584 -0.000354175865322 0.000248229385088 -0.000147698588047 0.0908590457499 -3.2110834888e-05 -0.00584591845605 0.000185863502268 -0.000325727827839 3.57846527025e-06 0.00286402
Pt:-5.291235_-1.511788_2.456636_ethanol 0.131595900141 -0.0161866043418 0.0018470306975 0.0969227681944 0.00652023398112 -0.00644981085946 0.000202701007293 -0.000751527674627 -0.000334765759575 0.421279873276 0.00761397089544 -0.0546382099401 -0.00287814296 -0.00190280218246 -0.00575108246205 0.176703273791 -0.00856270466548 -0.00979767830077 -0.00811425139124 -3.64303471431e-05 0.000810735829381 0.000638192036929 0.000125147576808 0.000792495164286 0.0962174675957 0.00301314350666 0.00574947705857 -0.000303841811406 0.000311856547618 -9.46413183407e-05 0.0898673152251 0.000288170507185 -0.00601788305419 0.000119921329586 -0.000348192453243 -3.34235160713e-05 0.00316135
Pt:-5.291235_-0.755898_-2.834594_ethanol 0.130121049582 -0.0156294931122 0.00171443396668 0.0962921780461 0.00551283500392 -0.00696768896574 2.70045896181e-05 -0.000690928913953 -0.000373377575133 0.41599914603 0.00738557049311 -0.0526227042269 -0.0028074202588 -0.00177998615665 -0.00522408663893 0.177601714513 -0.00770358590276 -0.0109870227329 -0.00723051582268 -0.000137513457044 0.00080054900945 0.000462023224163 0.000293783434584 0.000801766364317 0.0866361384986 -0.000938845624175 0.00397720037875 -0.000309876737928 -7.46505821748e-05 -0.000238104270381 0.0872704444833 -0.00219117891071 -0.00343408794336 0.000379442389195 -6.93818566813e-05 0.000149342250493 0.00161108
