Compound Name,rho Exp,rho Calc,col
6-bromopyridin-3-ol,1.79,1.81,1
6-bromopyridin-3-amine,1.71,1.68,2
6-bromo-N-methylpyridin-3-amine,1.58,1.57,3
6-chloropyridin-3-ol,1.39,1.36,4
6-chloropyridin-3-amine,1.33,1.29,5
6-chloro-N-methylpyridin-3-amine,1.25,1.21,6
4-chlorophenol,1.22,1.25,7
4-chloroaniline,1.17,1.19,8
N-methyl-(4-chlorophenyl)amine,1.20,1.20,9
4-bromo-N-methylaniline,1.66,1.64,10
4-bromoaniline,1.59,1.55,11
4-bromophenol,1.84,1.83,12
2-fluoropyridine,1.13,1.17,13
2-chloropyridine,1.20,1.21,14
2-bromopyridine,1.66,1.64,15
4-fluorophenol,1.31,1.32,16
4-fluoroaniline,1.17,1.18,17
4-fluoro-N-methylaniline,1.04,1.08,18
NMA,0.94,0.95,19
