Compound Name,delta_G Exp,delta_G Calc,Col
Toluene,-0.9,-0.86,1
trifluoromethylbenzene,-0.25,-0.34,2
2-iodophenol,-6.2,-6.5,3
PhH,-0.86,-0.89,4
PhF,-0.8,-0.75,5
PhCl,-1.12,-1.11,6
PhBr,-1.46,-1.4,7
PhI,-1.83,-1.97,8
pyrrol,-4.78,-3.74,9
6-chloropyridin-3-ol,-6.73,-6.32,10
6-chloropyridin-3-amine,-5.6,-5.47,11
4-chlorophenol,-7.03,-7.14,12
4-chloroaniline,-5.9,-6.01,13
4-bromophenol,-5.85,-5.89,14
2-chloropyridine,-4.39,-4.57,15
4-fluorophenol,-6.19,-5.66,16
4-fluoroaniline,-5.06,-5.28,17
4-fluoro-N-methylaniline,-4.26,-4.88,18
Phenol,-6.6,-6.47,19
Benzonitrile,-4.1,-3.9,20
NMA,-10.1,-9.99,21
